time,state_real_ROLL,state_obs_ROLL,state_real_WX,state_obs_WX,state_real_VY,state_obs_VY,state_real_WZ,state_obs_WZ,state_real_VX,state_obs_VX,state_real_PHI_U,state_obs_PHI_U,output_real_ROLL,output_obs_ROLL,output_real_VX,output_obs_VX,output_real_WX,output_obs_WX,output_real_DOT_WX,output_obs_DOT_WX,output_real_WZ,output_obs_WZ,output_real_ACC_Y,output_obs_ACC_Y,phi_s
0.01,0.0007845909572784495,-7.869696102841027e-21,0.0007845909572784495,0.0076703094752876315,0.0007845909572784495,0.017636042400668333,0.22735835637387664,0.23439032363305057,0.39113018338969,0.0,-0.00624950652627385,0.00150926711360214,0.0,0.0,0.0,0.0,0.011302014521247928,0.0,0.0,0.0010541569073216283,0.011457453315234265,0.0,0.004191768862566036,0.0,-0.00150926711360214
0.02,0.0023567815172535426,0.00030427119320711594,0.13307277132536893,0.15529232510422067,0.03573827047774541,0.026618010495981947,0.3144726983890929,0.3035389037280437,0.7525145225868843,0.39113018338969,-0.012497532709294476,0.0005804321075203128,0.0007845909572784495,-7.869696102841027e-21,0.39113018338969,0.0,0.001035355725163643,0.0076703094752876315,14.463283082622947,0.002513876393845446,0.2172286444211061,0.23439032363305057,3.4238939316110066,3.404420438429278,-0.0002761609143131969
0.03,0.006021962869066286,0.002747589913110249,0.21300932737713824,0.23332053284900983,0.07696515308429433,0.04963298999099959,0.3444911005404878,0.3341584883278729,1.08657411880682,0.7525145225868843,-0.01874309191329816,-0.005711047092267147,0.0023567815172535426,0.00030427119320711594,0.7525145225868843,0.39113018338969,0.12701250317084273,0.15529232510422067,10.183814084790829,0.02745671843022074,0.2970721478705981,0.3035389037280437,4.12629423455933,4.080391874128672,0.008458637005377396
0.04,0.011242226086587141,0.006933793702377829,0.2301758941395085,0.2738468291765116,0.11776763103695607,0.10606369223135903,0.35526584218134327,0.3505719778140983,1.395469358211641,1.08657411880682,-0.024985197892085767,-0.00467273108440411,0.006021962869066286,0.002747589913110249,1.08657411880682,0.7525145225868843,0.2240643471886318,0.23332053284900983,4.568671613903737,0.07684127578516767,0.3410474640415907,0.3341584883278729,4.145097443559696,4.213092458590641,0.011606524786781938
0.05,0.017370819351633125,0.012647751469791036,0.2033713114453483,0.23561031307155383,0.15674266158961667,0.15846450908757811,0.36011714815601104,0.3625703903648779,1.681145704167518,1.395469358211641,-0.031222864944762466,-0.011779792865226232,0.011242226086587141,0.006933793702377829,1.395469358211641,1.08657411880682,0.2333848825903409,0.2738468291765116,0.6793524728664813,0.13847088689091122,0.36297818022152795,0.3505719778140983,4.010947918968853,4.03644406707146,0.024427544335017266
0.060000000000000005,0.023944437463482075,0.01889590233137841,0.13874549210418072,0.16236228249984835,0.19120984418987286,0.2370497118623337,0.3675148035258828,0.3551501953062515,1.9453845585358593,1.681145704167518,-0.0374551080713913,-0.01387997338726964,0.017370819351633125,0.012647751469791036,1.681145704167518,1.395469358211641,0.1922624318494094,0.23561031307155383,3.1902340880377764,0.20035304799571957,0.35390702553892317,0.3625703903648779,3.5932663280341335,3.8528261035751044,0.032775875718648054
0.07,0.03055687803168337,0.025338508583444642,0.051493000166619105,0.077881326311656,0.220937627748241,0.2717816161097324,0.37550583039865826,0.3670665001285815,2.189823271430661,1.9453845585358593,-0.04368094312853613,-0.01959388498769009,0.023944437463482075,0.01889590233137841,1.9453845585358593,1.681145704167518,0.129728013043806,0.16236228249984835,0.6037181197277199,0.24202824565863018,0.3630855084626472,0.3551501953062515,3.1649522660774676,3.1492739751355816,0.04493239357113473
0.08,0.03694966055627429,0.03180942544417059,-0.04348976161262916,-0.019318408314943344,0.24697789427407701,0.29407062100757814,0.3820513846197686,0.37648789131613236,2.4159636212600937,2.189823271430661,-0.04989938698466926,-0.02584992174854669,0.03055687803168337,0.025338508583444642,2.189823271430661,1.9453845585358593,0.046688755830207256,0.077881326311656,-0.45291777046657167,0.26729617618175144,0.374758000256385,0.3670665001285815,2.8391311365370115,2.7900607305623044,0.057659347192717286
0.09,0.04300924342344984,0.03803661639131965,-0.1390968170121499,-0.13359731560818766,0.2700070536672446,0.31328286151160484,0.38716006159185945,0.3830626369092843,2.6251845486631256,2.4159636212600937,-0.05610945767541931,-0.03472516820975635,0.03694966055627429,0.03180942544417059,2.4159636212600937,2.189823271430661,-0.05899136897455555,-0.019318408314943344,-0.7022968774550566,0.26389734458970016,0.38326878180706986,0.37648789131613236,2.581095665222205,2.5367609262624544,0.072761784601076
0.09999999999999999,0.04868934306519382,0.04377708885745117,-0.23194649623639207,-0.20759737646402993,0.2905238109043712,0.31952821800463066,0.3911559693025765,0.38276719372618656,2.8187543582449153,2.6251845486631256,-0.0623101745586348,-0.03536777736394048,0.04300924342344984,0.03803661639131965,2.6251845486631256,2.4159636212600937,-0.13666757528024226,-0.13359731560818766,-0.5320085279464326,0.23909134955101902,0.3790933150256888,0.3830626369092843,2.3630155006916684,2.3234492883208056,0.07914486622139165
0.10999999999999999,0.05397393775883021,0.04948203448564437,-0.32056180554115365,-0.2962544419502163,0.308914549772346,0.32901340415789676,0.3943343221685324,0.38755041926884426,2.9978402483551063,2.8187543582449153,-0.06850055846923887,-0.040066127217532985,0.04868934306519382,0.04377708885745117,2.8187543582449153,2.6251845486631256,-0.23279262415860555,-0.20759737646402993,-0.15213124731568328,0.20141490140427157,0.3876013390816856,0.38276719372618656,2.1827464348149217,2.1438429519808953,0.08954816170317736
0.11999999999999998,0.058858489647168145,0.05475795049401026,-0.40444709462805833,-0.37840438625981526,0.3254831356788233,0.36498721224030417,0.39691062225806495,0.39980326897795443,3.1635164829218567,2.9978402483551063,-0.07467963187385084,-0.04332210353179771,0.05397393775883021,0.04948203448564437,2.9978402483551063,2.8187543582449153,-0.3192979394822949,-0.2962544419502163,0.3228690830568146,0.15417818903686942,0.402294862029228,0.38755041926884426,2.0278256481888968,2.02018737767835,0.09808005402580797
0.12999999999999998,0.06334042034442848,0.059635004919742655,-0.4835900229078278,-0.4618426713094502,0.34046937878164746,0.37524896922984224,0.39903222672378524,0.39630072234242764,3.31677173859276,3.1635164829218567,-0.08084641902515001,-0.04865624498840242,0.058858489647168145,0.05475795049401026,3.1635164829218567,2.9978402483551063,-0.4055680857944071,-0.37840438625981526,0.8320740498165353,0.09863730309875302,0.39861974688288243,0.39980326897795443,1.901150939323585,1.8831414125751513,0.10829124990814507
0.13999999999999999,0.06741458535723388,0.06404833719130697,-0.558189512472834,-0.5483520983713408,0.3540624720488247,0.3644899591138706,0.4007980038958295,0.39495576598824783,3.4585158573500707,3.31677173859276,-0.08699994611595754,-0.05663195183660438,0.06334042034442848,0.059635004919742655,3.31677173859276,3.1635164829218567,-0.4929208149014805,-0.4618426713094502,1.3449051209881122,0.03529700251589625,0.39431634867967436,0.39630072234242764,1.7958298547277487,1.7396943237691305,0.12068028902791135
0.15,0.07107148555761841,0.06795022454352033,-0.6285101927722455,-0.6100261369802839,0.36641134258828484,0.37704702790023076,0.40227434658197525,0.398035053721314,3.5895861083752334,3.4585158573500707,-0.09313924143301185,-0.059103561863402515,0.06741458535723388,0.06404833719130697,3.4585158573500707,3.31677173859276,-0.5605420616104708,-0.5483520983713408,1.8477797080412297,-0.03562048592242671,0.40030700697120647,0.39495576598824783,1.6990560577773388,1.6915876754470842,0.12705378640692283
0.16,0.0742969487928475,0.07159885312998489,-0.6948085811870784,-0.678470360991547,0.37763275644878386,0.38585685876192055,0.4035063304265644,0.3984329185751717,3.71075301129929,3.5895861083752334,-0.09926333551041339,-0.06418146481670046,0.07107148555761841,0.06795022454352033,3.5895861083752334,3.4585158573500707,-0.6331310622985423,-0.6100261369802839,2.3363438531920737,-0.11402937080689235,0.3999059867640753,0.398035053721314,1.6145551631523014,1.6118856456008865,0.13578031794668535
0.17,0.07707256218495348,0.0747966103499156,-0.7572995438643957,-0.7358348930200684,0.3878177017353294,0.41101076264455605,0.4045251010178588,0.40704792543393287,3.822725752726524,3.71075301129929,-0.1053712612827146,-0.06728051260229431,0.0742969487928475,0.07159885312998489,3.71075301129929,3.5895861083752334,-0.6939894680009023,-0.678470360991547,2.810975898436097,-0.1998879644623709,0.4106269125741721,0.3984329185751717,1.5379376265725755,1.5357401578793652,0.14207712295220992
0.18000000000000002,0.0793764501522609,0.07760428724853646,-0.8161447659917247,-0.8117235950226317,0.39703644348054695,0.4265467115827515,0.4053526792240331,0.4078843869751188,3.9261572206114126,3.822725752726524,-0.1114620542376307,-0.07548832387444909,0.07707256218495348,0.0747966103499156,3.822725752726524,3.71075301129929,-0.768813132984369,-0.7358348930200684,3.2742292086371028,-0.29318666145340755,0.41365377581426127,0.40704792543393287,1.4802072322530746,1.4729063687213562,0.15309261112298556
0.19000000000000003,0.08118417582967494,0.07974904924678737,-0.8714526960069806,-0.8574356313394964,0.40534255644771006,0.4099899997636015,0.4060050787126101,0.3985305938108369,4.021648678406194,3.9261572206114126,-0.11753475256834742,-0.07920311685203643,0.0793764501522609,0.07760428724853646,3.9261572206114126,3.822725752726524,-0.8172912747079348,-0.8117235950226317,3.7294181412983693,-0.3939070888473017,0.3970010679243461,0.4078843869751188,1.423876613346003,1.396477604612956,0.1589521660988238
